sessionId,topicId
0,8
1,14
2,0
3,18
4,7
5,7
6,9
7,16
8,2
9,11
10,5
11,0
12,18
13,18
14,11
15,7
16,2
17,10
18,17
19,11
20,18
21,18
22,14
23,3
24,2
25,12
26,10
27,9
28,1
29,0
30,19
31,2
32,15
33,11
34,12
35,3
36,1
37,12
38,2
39,19
40,8
41,10
42,16
43,0
44,5
45,19
46,4
47,1
48,1
49,2
50,13
51,10
52,6
53,13
54,17
55,12
56,1
57,2
58,8
59,16
60,13
61,16
62,15
63,9
64,4
65,2
66,7
67,8
68,9
69,3
70,9
71,1
72,19
73,2
74,16
75,7
76,0
77,3
78,17
79,7
80,13
81,2
82,14
83,9
84,14
85,14
86,5
87,13
88,7
89,2
90,6
91,5
92,6
93,1
94,4
95,2
96,5
97,11
98,0
99,11
100,15
101,2
102,0
103,8
104,9
105,15
106,5
107,2
108,15
109,4
110,6
111,5
112,14
113,2
